Column1,Month of Period End,Median Sale Price,Median Sale Price MoM ,Median Sale Price YoY ,Homes Sold,Homes Sold MoM ,Homes Sold YoY ,New Listings,New Listings MoM ,New Listings YoY ,Inventory,Inventory MoM , Inventory YoY ,Days on Market,Days on Market MoM,Days on Market YoY,Average Sale To List,Average Sale To List MoM ,Average Sale To List YoY 
"Washington, DC metro area",7/1/2022,$530K,-0.036,0.044,6027,-0.174,-0.293,7066,-0.176,-0.286,11952,0.06,-0.03,26,8,9,1.005,-0.011,-0.012
"Washington, DC metro area",8/1/2022,$520K,-0.019,0.061,5911,-0.019,-0.271,5666,-0.198,-0.293,11184,-0.064,-0.063,32,6,8,0.997,-0.008,-0.013
"Washington, DC metro area",9/1/2022,$500K,-0.038,0.042,5229,-0.115,-0.271,6463,0.141,-0.246,11822,0.057,-0.062,36,4,7,0.995,-0.001,-0.01
"Washington, DC metro area",10/1/2022,$518K,0.036,0.046,4642,-0.112,-0.346,4997,-0.227,-0.306,11564,-0.022,-0.015,36,0,6,0.995,0,-0.008
"Washington, DC metro area",11/1/2022,$500K,-0.035,0.01,4052,-0.127,-0.431,3610,-0.278,-0.299,10258,-0.113,0.079,42,6,9,0.992,-0.004,-0.011
"Washington, DC metro area",12/1/2022,$490K,-0.02,0.005,3885,-0.041,-0.431,2318,-0.358,-0.384,8146,-0.206,0.162,46,4,11,0.989,-0.003,-0.014
"Washington, DC metro area",1/1/2023,$475K,-0.031,0.003,2880,-0.259,-0.344,3654,0.576,-0.189,7687,-0.056,0.227,59,13,21,0.987,-0.002,-0.015
"Washington, DC metro area",2/1/2023,$505K,0.063,0.018,3548,0.232,-0.263,4003,0.096,-0.345,7210,-0.062,0.126,46,-13,18,0.996,0.009,-0.019
"Washington, DC metro area",3/1/2023,$520K,0.03,-0.01,4621,0.302,-0.306,6313,0.577,-0.263,7957,0.104,0.073,32,-14,17,1.002,0.006,-0.024
"Washington, DC metro area",4/1/2023,$545K,0.048,-0.009,4567,-0.012,-0.342,5846,-0.074,-0.363,8070,0.014,-0.088,27,-5,16,1.009,0.007,-0.023
